City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Ilulissat,GL,69.2167,-51.1,17.62,45,75,25.32,broken clouds
269,Corinto,GR,37.9407,22.9573,49.89,58,90,1.99,overcast clouds
270,Baie-Comeau,CA,49.2168,-68.1489,17.08,57,100,5.75,overcast clouds
271,Kamaishi,JP,39.2667,141.8833,29.07,64,31,8.9,scattered clouds
272,Katangli,RU,51.7102,143.2326,5.76,93,100,18.28,light snow
273,Grand Gaube,MU,-20.0064,57.6608,81.0,85,100,17.0,light rain
274,Duncan,US,34.5023,-97.9578,19.35,74,100,19.57,overcast clouds
275,Chapais,CA,49.7834,-74.8492,-6.02,75,100,7.47,overcast clouds
276,Takoradi,GH,4.8845,-1.7554,80.85,78,3,11.59,clear sky
277,Coxim,BR,-18.5067,-54.76,84.67,74,98,7.36,overcast clouds
278,Nador,MA,35.174,-2.9287,66.27,82,0,2.3,clear sky
279,Nanakuli,US,21.3906,-158.1547,74.71,73,0,4.61,clear sky
280,Shitanjing,CN,39.2342,106.3439,13.69,36,8,3.91,clear sky
281,Kichera,RU,55.9375,110.0997,-7.98,94,78,1.3,broken clouds
282,Kochi,IN,9.9399,76.2602,78.78,83,8,3.83,clear sky
283,Gualaco,HN,15.05,-86.05,89.44,28,5,4.76,clear sky
284,Jinchang,CN,38.4953,102.1739,18.27,39,0,1.5,clear sky
285,Saint George,US,37.1041,-113.5841,42.64,24,0,1.01,clear sky
286,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,27.63,heavy snow
287,Kalianget,ID,-7.05,113.9333,78.39,84,96,6.76,overcast clouds
288,Walvis Bay,NA,-22.9575,14.5053,70.09,76,0,14.09,clear sky
289,Decatur,US,39.8403,-88.9548,21.51,93,100,19.57,snow
290,Ugoofaaru,MV,5.6667,73.0,80.71,74,5,3.83,clear sky
291,Kysyl-Syr,RU,63.8986,122.7617,-30.75,100,74,3.58,broken clouds
292,Touros,BR,-5.1989,-35.4608,86.9,67,69,14.61,broken clouds
293,Baykit,RU,61.67,96.37,15.13,96,100,4.09,light snow
294,Porto Santo,PT,33.072,-16.3415,67.3,88,40,8.05,scattered clouds
295,Shahpur,IN,16.7,76.8333,75.22,33,4,12.08,clear sky
296,Chingirlau,KZ,51.095,54.0814,28.69,89,100,12.86,overcast clouds
297,Mildura,AU,-34.2,142.15,57.16,58,0,8.05,clear sky
298,Mayo,US,38.8876,-76.5119,52.25,96,100,1.01,moderate rain
299,Camacha,PT,33.0833,-16.3333,64.53,82,40,9.22,scattered clouds
300,Guerrero Negro,MX,27.9769,-114.0611,59.59,26,0,4.29,clear sky
301,Maibong,IN,25.3,93.1667,51.24,87,1,1.19,clear sky
302,Erkelenz,DE,51.0833,6.3167,45.52,88,100,1.99,overcast clouds
303,Lucea,JM,18.451,-78.1736,82.85,73,5,11.61,clear sky
304,Hebi,CN,35.8992,114.1925,33.24,48,11,6.31,few clouds
305,Karuzi,BI,-3.125,30.1333,61.29,92,100,2.37,overcast clouds
306,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,80,48,12.91,scattered clouds
307,Port-De-Bouc,FR,43.4,4.9833,55.96,90,100,5.75,overcast clouds
308,Chuzhou,CN,32.3219,118.2978,34.21,84,1,1.41,clear sky
309,Burnie,AU,-41.0667,145.9167,51.93,95,2,6.15,clear sky
310,Dhidhdhoo,MV,6.8833,73.1,80.62,72,7,4.12,clear sky
311,Praya,CV,14.9215,-23.5087,82.94,44,0,14.97,clear sky
312,Kaseda,JP,31.4167,130.3167,45.21,63,98,14.52,overcast clouds
313,Marzuq,YE,14.4,46.4667,63.45,33,0,0.63,clear sky
314,Kazerun,IR,29.6195,51.6541,55.71,35,0,2.26,clear sky
315,Kulachi,PK,31.9286,70.4592,55.11,48,0,6.31,clear sky
316,Mana,GF,5.6592,-53.7767,79.12,82,47,10.74,scattered clouds
317,Leh,IN,34.1667,77.5833,10.33,98,100,2.53,light snow
318,Ola,RU,59.5833,151.2833,0.68,78,47,11.52,scattered clouds
319,Puerto Escondido,MX,15.85,-97.0667,83.98,54,1,9.28,clear sky
320,Senanga,ZM,-16.1167,23.2667,66.27,97,100,5.95,moderate rain
321,Buin,CL,-33.7333,-70.75,84.06,25,97,11.61,overcast clouds
322,Lensk,RU,60.7253,114.9278,4.51,93,100,7.34,overcast clouds
323,Clermont,FR,49.5,2.4167,46.11,89,100,9.62,overcast clouds
324,Dalvik,IS,65.9702,-18.5286,17.53,94,94,7.4,light snow
325,Ormara,PK,25.2088,64.6357,69.53,29,0,14.63,clear sky
326,Harihar,IN,14.5167,75.8,67.15,76,0,5.93,clear sky
327,Baruun-Urt,MN,46.6806,113.2792,-12.6,89,4,4.99,clear sky
328,Dalby,AU,-27.1833,151.2667,64.98,96,76,1.01,broken clouds
329,Metu,ET,8.3,35.5833,65.59,55,87,3.83,overcast clouds
330,Batemans Bay,AU,-35.7167,150.1833,61.11,86,68,7.49,light rain
331,Constantine,DZ,36.365,6.6147,54.81,30,0,2.3,clear sky
332,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,83.07,75,97,9.19,moderate rain
333,Marystown,CA,47.1666,-55.1483,37.85,100,100,1.99,overcast clouds
334,Bonavista,CA,48.6499,-53.1147,37.11,81,100,25.03,overcast clouds
335,Pandamatenga,BW,-18.5278,25.627,70.57,78,4,6.02,clear sky
336,Boyolangu,ID,-8.1181,111.8935,76.03,89,99,1.95,overcast clouds
337,Kolbermoor,DE,47.85,12.0667,43.81,89,100,4.65,overcast clouds
338,Tiksi,RU,71.6872,128.8694,-10.23,100,100,4.12,overcast clouds
339,Naze,JP,28.3667,129.4833,55.69,77,100,16.22,overcast clouds
340,Peru,US,40.7537,-86.0689,20.68,90,100,17.27,snow
341,Miri,MY,4.4148,114.0089,77.14,100,40,2.3,scattered clouds
342,Kerema,PG,-7.9631,145.7785,77.54,74,100,3.15,overcast clouds
343,Dunedin,NZ,-45.8742,170.5036,54.81,90,100,1.57,light rain
344,Tabalosos,PE,-6.35,-76.6833,68.2,63,85,3.15,overcast clouds
345,Ghanzi,BW,-21.5667,21.7833,74.84,61,10,5.1,light rain
